obsn no,conc
1,17
2,16.6
3,16.3
4,16.1
5,17.1
6,16.9
7,16.8
8,17.4
9,17.1
10,17
11,16.7
12,17.4
13,17.2
14,17.4
15,17.4
16,17
17,17.3
18,17.2
19,17.4
20,16.8
21,17.1
22,17.4
23,17.4
24,17.5
25,17.4
26,17.6
27,17.4
28,17.3
29,17
30,17.8
31,17.5
32,18.1
33,17.5
34,17.4
35,17.4
36,17.1
37,17.6
38,17.7
39,17.4
40,17.8
41,17.6
42,17.5
43,16.5
44,17.8
45,17.3
46,17.3
47,17.1
48,17.4
49,16.9
50,17.3
51,17.6
52,16.9
53,16.7
54,16.8
55,16.8
56,17.2
57,16.8
58,17.6
59,17.2
60,16.6
61,17.1
62,16.9
63,16.6
64,18
65,17.2
66,17.3
67,17
68,16.9
69,17.3
70,16.8
71,17.3
72,17.4
73,17.7
74,16.8
75,16.9
76,17
77,16.9
78,17
79,16.6
80,16.7
