Seq,ID,Gender,Monetary,Recency,Frq,FirstPurch,ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeogBks,ItalCook,ItalAtlas,ItalArt,Florence,RelatedPurchase
3405,28172,1,256,34,11,92,1,2,5,1,0,0,0,0,0,0,0,0
3029,25069,1,59,14,2,20,0,0,1,0,0,0,1,0,0,0,0,1
3410,28203,1,127,8,2,12,0,0,0,0,0,1,0,0,0,0,0,1
1266,10607,0,82,14,2,16,1,0,0,0,0,0,0,0,0,0,0,0
2995,24798,1,331,8,7,32,0,0,0,2,1,0,0,0,0,1,0,1
2651,21981,1,135,20,1,20,0,0,1,0,0,0,1,0,0,0,0,1
3235,26636,1,169,16,1,16,1,0,0,0,0,0,0,0,0,0,0,0
958,7914,0,279,20,6,44,0,1,0,0,2,1,2,0,1,1,1,5
199,1740,0,24,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
3168,26101,1,173,14,11,66,6,0,1,0,0,0,0,1,0,0,0,1
3233,26628,1,300,10,2,16,0,0,1,0,0,1,0,0,0,0,0,1
2100,17334,0,231,16,7,56,0,2,1,1,1,0,2,0,0,0,0,2
2750,22749,1,315,28,2,30,0,1,0,0,0,1,1,0,0,0,0,2
2124,17541,1,216,12,1,12,0,0,0,0,0,1,0,0,0,0,0,1
1406,11720,1,267,16,2,20,1,0,0,0,0,1,0,0,0,0,0,1
1641,13587,1,30,14,1,14,0,0,0,0,0,1,0,0,0,0,0,1
984,8095,0,223,22,4,44,1,0,1,1,1,0,0,1,1,0,0,2
666,5903,1,156,10,5,34,1,0,1,1,0,1,0,0,0,0,0,1
2522,20782,1,369,22,7,52,2,1,3,0,0,0,1,0,0,0,0,1
2455,20153,0,195,22,12,86,3,1,3,2,1,0,0,0,0,0,0,0
752,6480,0,216,16,11,58,2,1,2,3,2,0,1,0,0,0,0,1
3407,28189,0,133,8,1,8,0,0,0,0,0,0,1,0,0,0,0,1
3247,26722,1,288,2,6,30,0,0,2,0,0,0,0,0,0,0,0,0
