Seq,ID,Gender,Monetary,Recency,Frq,FirstPurch,ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeogBks,ItalCook,ItalAtlas,ItalArt,Florence,RelatedPurchase
3136,25904,0,100,8,1,8,0,0,0,0,0,1,0,0,0,0,0,1
40,330,0,211,6,11,44,3,2,2,0,0,2,1,2,0,1,0,6
814,6888,1,156,16,4,24,1,0,2,1,0,0,0,1,0,0,0,1
3988,32896,1,294,2,11,32,1,1,1,0,0,0,2,0,0,0,0,2
2150,17746,1,252,16,1,16,0,0,0,0,1,0,0,0,0,0,0,0
70,567,1,135,16,8,60,3,1,0,1,0,2,1,0,0,2,0,5
300,2668,1,201,32,1,32,1,0,0,0,0,0,0,0,0,0,0,0
1930,15989,1,171,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0
3899,32143,1,27,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1273,10695,1,346,2,10,52,2,1,2,0,0,2,2,0,0,0,0,4
1638,13573,0,288,12,12,58,2,2,2,0,2,0,0,0,1,0,0,1
1856,15296,1,216,14,1,14,0,0,0,0,1,0,0,0,0,0,1,0
3032,25113,0,318,22,8,60,5,1,1,0,0,0,3,0,0,0,0,3
1420,11817,1,219,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
2656,22018,1,76,10,2,14,0,1,0,0,0,0,0,0,0,0,0,0
1468,12190,0,128,14,2,20,0,0,0,0,1,0,0,0,0,0,0,0
2554,21060,0,123,12,8,54,1,0,2,0,2,0,0,0,0,0,0,0
1923,15917,1,109,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
2555,21101,1,86,6,3,14,0,0,0,0,0,1,0,0,0,0,0,1
3961,32651,1,120,6,8,22,1,0,2,1,0,0,0,0,0,1,0,1
2976,24634,1,108,16,2,22,1,1,0,0,0,0,0,0,0,0,0,0
1888,15593,1,151,6,4,24,0,0,1,1,0,1,0,0,0,0,0,1
3033,25132,1,111,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1087,9136,1,30,10,2,18,1,0,0,0,0,0,0,0,0,0,0,0
2773,22962,1,28,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
1695,13996,1,42,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1668,13780,1,108,8,2,14,0,1,0,0,0,1,0,0,0,0,0,1
3302,27261,0,90,14,4,32,0,0,2,1,0,0,0,0,0,0,0,0
3489,28967,1,360,30,9,74,1,2,3,0,1,0,1,0,0,0,0,1
516,4722,1,175,30,2,32,1,0,1,0,0,0,0,0,0,0,0,0
2232,18401,1,153,4,1,4,0,0,0,0,0,1,0,0,0,0,0,1
3403,28155,0,126,16,1,16,0,1,0,0,0,0,0,0,0,0,0,0
3893,32113,1,324,30,2,38,1,0,1,0,0,1,0,0,0,0,0,1
102,874,1,274,14,11,68,4,1,2,1,0,1,2,2,0,1,0,6
596,5385,1,227,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
2624,21773,0,117,22,3,36,0,0,2,0,0,1,0,0,0,0,0,1
396,3569,1,266,10,4,32,0,0,0,0,2,1,0,0,1,1,0,3
499,4549,0,68,12,4,26,0,1,0,2,0,0,0,0,0,0,0,0
3935,32382,1,109,16,2,24,0,0,2,0,0,0,0,0,0,0,0,0
2865,23654,1,230,32,1,32,0,0,1,0,0,0,0,1,0,0,0,1
3024,25010,1,57,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
1460,12108,1,126,4,5,28,3,0,1,0,0,0,0,0,0,0,0,0
2617,21742,1,293,16,5,34,0,2,0,0,0,0,0,0,0,0,0,0
1497,12428,0,194,10,6,22,0,0,1,0,2,0,0,1,1,0,1,2
2427,19968,1,300,16,1,16,0,0,0,0,0,1,0,1,0,0,0,2
2842,23541,1,145,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
3892,32107,1,65,36,2,42,1,0,0,0,0,0,0,1,0,0,0,1
2857,23604,0,93,16,1,16,0,0,0,0,0,0,0,0,0,0,0,0
3141,25930,1,223,2,5,12,0,0,0,0,0,1,0,0,0,0,0,1
2753,22762,1,163,14,6,30,1,2,0,2,0,0,0,0,0,0,0,0
3780,31287,1,316,14,2,20,0,1,0,0,1,0,0,0,0,0,0,0
529,4796,1,372,30,11,60,4,1,3,1,1,1,0,1,1,1,0,4
686,6058,1,139,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
441,3945,1,90,16,1,16,0,0,1,0,0,0,0,0,0,0,0,0
3875,31959,1,407,10,12,80,2,0,4,2,0,0,1,0,0,0,0,1
1772,14592,1,140,4,8,44,2,0,1,0,1,0,0,1,0,0,0,1
3363,27768,1,100,14,1,14,0,0,0,0,0,0,0,0,0,0,1,0
954,7874,1,69,22,1,22,1,0,0,0,0,0,0,0,0,0,0,0
3369,27832,0,26,4,1,4,0,0,0,0,0,1,0,0,0,0,0,1
861,7189,1,145,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
747,6410,0,377,14,12,60,3,2,1,2,1,1,2,0,0,0,0,3
2524,20812,1,405,10,8,38,2,0,1,1,1,0,1,0,1,0,0,2
3687,30610,0,259,8,2,10,0,0,0,0,0,2,2,0,0,0,0,4
679,5982,0,63,14,1,14,0,1,0,0,0,0,0,0,0,0,0,0
683,6025,0,17,4,1,4,0,0,0,0,0,0,0,0,0,0,1,0
3801,31410,0,323,12,6,34,0,0,1,3,0,0,1,1,0,0,1,2
1952,16150,1,286,14,10,66,2,2,3,1,0,0,0,0,0,0,0,0
1410,11734,1,326,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0
2452,20110,1,184,12,2,18,1,0,0,0,0,0,0,0,0,0,0,0
2286,18737,1,228,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
2062,17075,0,272,30,2,36,0,0,1,0,0,0,0,0,0,0,0,0
108,931,1,166,16,1,16,0,0,1,0,0,0,0,0,0,0,0,0
824,6922,1,143,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
3625,30081,1,271,16,1,16,0,0,0,1,0,1,0,0,0,0,0,1
119,1012,1,268,14,2,18,1,0,0,0,0,1,0,0,0,0,0,1
2353,19306,1,230,12,1,12,0,0,0,0,0,2,0,0,0,0,0,2
3281,27059,0,121,36,4,48,1,0,0,2,0,1,0,0,0,0,0,1
2300,18897,1,328,10,2,12,0,0,0,0,0,0,0,1,0,0,0,1
2182,18009,1,46,6,2,14,1,0,0,0,0,0,0,0,0,0,0,0
2153,17768,1,409,12,10,68,3,0,2,0,2,0,0,0,0,0,0,0
1336,11111,1,134,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
3830,31587,1,29,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
2450,20106,0,214,14,1,14,0,0,0,1,0,3,0,0,0,0,0,3
1487,12361,1,192,14,1,14,0,0,0,0,0,1,0,0,0,0,1,1
711,6196,1,49,12,3,26,0,1,1,0,0,0,0,0,0,0,0,0
2467,20277,1,177,14,11,36,1,0,3,0,1,0,0,0,0,0,0,0
2332,19164,1,217,10,1,10,0,0,0,0,0,1,0,0,0,0,0,1
2653,22000,1,148,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
819,6910,0,206,32,2,36,0,0,1,0,0,1,0,0,0,0,0,1
3441,28530,1,256,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1968,16311,1,99,14,1,14,0,1,0,0,0,0,0,2,0,0,0,2
771,6628,0,162,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
972,8001,1,167,14,3,24,0,1,1,0,1,0,0,1,0,0,0,1
126,1088,0,98,12,2,16,1,0,0,0,0,0,0,0,0,0,0,0
2292,18860,0,335,4,11,54,4,1,3,0,0,0,0,0,0,1,1,1
2826,23376,0,281,14,2,18,0,1,1,0,0,0,0,0,0,0,0,0
894,7455,1,233,16,2,18,0,0,0,1,0,0,1,0,0,0,0,1
2324,19079,1,87,6,3,18,0,0,1,0,0,0,0,0,0,0,0,0
251,2203,1,173,20,2,28,0,0,1,1,0,0,0,0,0,0,0,0
1616,13369,1,285,16,5,40,1,2,0,0,1,0,0,0,1,0,1,1
1081,9055,1,400,14,7,38,1,0,0,1,1,1,2,0,0,0,0,3
3871,31928,1,93,24,6,48,2,0,1,0,0,0,0,0,0,0,0,0
2838,23513,0,172,10,1,10,0,0,0,0,0,1,0,0,0,0,0,1
316,2819,1,101,10,2,18,0,1,0,0,0,0,0,0,0,0,0,0
2133,17633,1,133,34,2,38,0,0,1,0,0,0,0,2,0,0,0,2
190,1577,1,311,2,9,34,2,1,2,2,0,0,0,0,0,0,0,0
2225,18351,1,343,14,3,24,0,0,0,1,1,1,0,0,0,0,0,1
2736,22667,1,131,14,2,20,0,0,1,1,0,0,0,0,0,0,0,0
3397,28095,1,246,16,12,58,4,0,1,1,2,0,0,0,0,0,0,0
2137,17661,1,91,8,2,16,0,0,0,1,0,0,0,0,0,0,0,0
2310,18984,1,456,16,11,78,2,0,2,4,1,2,0,0,0,0,0,2
2968,24554,1,265,30,11,52,3,1,4,1,0,0,0,0,0,0,1,0
1321,10978,1,294,10,3,22,0,0,1,1,0,0,0,0,0,0,0,0
3276,27009,0,154,34,2,40,2,0,0,0,0,0,3,1,0,0,0,4
2020,16704,1,63,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0
2828,23400,0,215,12,2,16,1,0,0,0,0,0,0,0,0,0,0,0
