Seq,ID,Gender,Monetary,Recency,Frq,FirstPurch,ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeogBks,ItalCook,ItalAtlas,ItalArt,Florence,Related 
3603,29901,1,251,14,2,20,1,0,1,0,0,0,0,0,0,0,0,0
1330,11061,0,313,12,2,20,0,0,1,0,0,0,0,0,0,0,0,0
3523,29269,1,189,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0
3446,28558,0,365,14,6,42,0,0,2,1,0,0,1,0,0,0,0,1
3701,30783,1,103,18,1,18,0,0,0,1,0,0,0,0,0,0,0,0
544,4940,1,200,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
2371,19433,0,279,2,2,4,0,0,0,0,0,1,0,1,0,0,0,2
3966,32682,0,194,6,2,8,0,0,0,0,0,2,0,0,0,0,0,2
1093,9162,1,321,2,7,34,2,1,1,0,0,2,0,1,0,2,0,5
12,100,0,320,2,3,18,0,0,0,0,0,1,0,0,0,0,1,1
3803,31416,1,276,12,2,14,1,0,0,0,0,0,0,1,0,0,0,1
627,5670,0,173,16,8,44,3,1,1,1,1,1,0,0,0,0,0,1
766,6596,1,325,16,2,18,0,0,2,0,0,0,0,1,0,0,0,1
9,81,1,252,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
3659,30425,1,99,26,2,32,0,1,0,0,1,1,0,1,0,0,0,2
842,7052,0,201,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
88,712,1,306,10,2,16,0,0,0,0,0,1,0,0,0,0,0,1
560,5077,1,239,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0
3952,32599,1,314,34,2,38,1,0,1,0,0,0,0,0,0,0,0,0
2691,22313,1,210,16,2,24,0,0,1,0,1,0,1,0,0,0,0,1
1725,14236,0,110,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
299,2660,0,212,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1684,13898,1,167,4,7,26,2,1,1,1,0,1,0,0,0,0,0,1
2468,20289,1,258,16,2,22,0,0,1,0,0,0,1,0,0,0,0,1
2744,22731,1,40,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
287,2523,1,252,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
138,1149,1,136,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
1973,16362,0,361,10,12,64,3,1,3,2,1,0,0,0,2,0,0,2
262,2294,1,121,12,5,32,1,0,0,1,0,0,0,0,0,0,0,0
3265,26897,1,139,10,2,18,1,0,0,0,0,0,0,0,0,0,0,0
2906,23974,1,183,16,10,50,1,1,3,1,1,0,2,1,0,0,0,3
1865,15391,0,118,10,2,16,1,0,0,0,0,0,0,0,0,0,0,0
1241,10370,1,300,12,2,18,1,0,0,0,0,0,0,0,0,0,0,0
347,3048,0,304,20,2,22,0,0,2,0,0,0,0,0,0,0,0,0
2429,19977,0,176,12,2,18,0,0,1,0,0,3,1,0,0,0,0,4
1073,8976,1,324,2,3,18,0,0,0,0,1,0,0,0,0,0,0,0
561,5083,1,224,32,1,32,0,0,0,1,0,0,0,0,0,0,0,0
2003,16612,1,142,10,2,16,0,1,0,0,0,0,0,0,0,0,0,0
1421,11826,0,39,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
