Seq,ID,Gender,Monetary,Recency,Frq,FirstPurch,ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeogBks,ItalCook,ItalAtlas,ItalArt,Florence,RelatedPurchase,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,25,1,297,14,2,22,0,1,1,0,0,0,0,0,0,0,0,0,,3136,3136,25904,0,100,8,1,8,0,0,0,0,0,1,0,0,0,0,0,1
2,29,0,128,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0,,40,40,330,0,211,6,11,44,3,2,2,0,0,2,1,2,0,1,0,6
3,46,1,138,22,7,56,2,1,2,0,1,0,1,1,0,0,0,2,,814,814,6888,1,156,16,4,24,1,0,2,1,0,0,0,1,0,0,0,1
4,47,1,228,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,3988,3988,32896,1,294,2,11,32,1,1,1,0,0,0,2,0,0,0,0,2
5,51,1,257,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,,2150,2150,17746,1,252,16,1,16,0,0,0,0,1,0,0,0,0,0,0,0
6,60,1,145,6,2,12,0,0,0,0,0,0,0,0,0,0,0,0,,70,70,567,1,135,16,8,60,3,1,0,1,0,2,1,0,0,2,0,5
7,61,1,190,16,1,16,0,0,0,0,0,0,1,0,0,0,0,1,,300,300,2668,1,201,32,1,32,1,0,0,0,0,0,0,0,0,0,0,0
8,79,1,187,14,1,14,1,0,0,0,0,0,0,0,0,0,0,0,,1930,1930,15989,1,171,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0
9,81,1,252,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,,3899,3899,32143,1,27,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
10,90,1,240,6,3,20,0,0,1,0,0,0,0,0,0,0,0,0,,1273,1273,10695,1,346,2,10,52,2,1,2,0,0,2,2,0,0,0,0,4
11,95,1,275,2,4,20,0,0,1,0,0,0,0,0,0,0,0,0,,1638,1638,13573,0,288,12,12,58,2,2,2,0,2,0,0,0,1,0,0,1
12,100,0,320,2,3,18,0,0,0,0,0,1,0,0,0,0,1,1,,1856,1856,15296,1,216,14,1,14,0,0,0,0,1,0,0,0,0,0,1,0
13,103,1,268,4,1,4,0,0,0,0,0,0,0,0,0,0,1,0,,3032,3032,25113,0,318,22,8,60,5,1,1,0,0,0,3,0,0,0,0,3
14,112,0,135,14,1,14,1,0,0,0,0,0,0,0,0,0,0,0,,1420,1420,11817,1,219,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
15,116,1,213,4,2,10,0,0,0,0,0,0,0,0,0,0,0,0,,2656,2656,22018,1,76,10,2,14,0,1,0,0,0,0,0,0,0,0,0,0
16,121,1,256,14,9,58,2,0,3,0,1,1,2,1,1,1,0,6,,1468,1468,12190,0,128,14,2,20,0,0,0,0,1,0,0,0,0,0,0,0
17,125,1,226,14,6,28,2,1,2,0,0,1,0,1,0,0,0,2,,2554,2554,21060,0,123,12,8,54,1,0,2,0,2,0,0,0,0,0,0,0
18,126,0,81,22,1,22,0,0,1,0,0,0,0,0,0,0,0,0,,1923,1923,15917,1,109,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
19,127,1,330,10,10,38,0,0,2,2,1,1,0,0,0,0,0,1,,2555,2555,21101,1,86,6,3,14,0,0,0,0,0,1,0,0,0,0,0,1
20,145,1,393,12,11,50,3,0,2,0,0,2,3,0,0,0,1,5,,3961,3961,32651,1,120,6,8,22,1,0,2,1,0,0,0,0,0,1,0,1
21,164,1,213,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,2976,2976,24634,1,108,16,2,22,1,1,0,0,0,0,0,0,0,0,0,0
