srno,presz,postsz ,inc ,year ,lf,y1,y2,y3
1,113.6,127.7,14.1,NA,0,0,0,0
2,118.1,133.2,15.1,NA,0,0,0,0
3,119.9,135.3,15.4,NA,0,0,0,0
4,126.2,143.3,17.1,NA,0,0,0,0
5,126.7,139.3,12.6,NA,0,0,0,0
6,127.3,140.2,12.9,NA,0,0,0,0
7,128.2,143.8,15.6,NA,0,0,0,0
8,129.5,144.6,15.1,NA,0,0,0,0
9,130.5,147.6,17.1,NA,0,0,0,0
10,131.6,144.8,13.2,NA,0,0,0,0
11,131.7,146.8,15.1,NA,0,0,0,0
12,132.2,145.9,13.7,NA,0,0,0,0
13,132.4,151,18.6,NA,0,0,0,0
14,132.8,148.7,15.9,NA,0,0,0,0
15,132.8,147.8,15,NA,0,0,0,0
16,133.6,148.3,14.7,NA,0,0,0,0
17,133.8,149.2,15.4,NA,0,0,0,0
18,134.1,149,14.9,NA,0,0,0,0
19,134.3,149.2,14.9,NA,0,0,0,0
20,134.6,148.7,14.1,NA,0,0,0,0
21,135.2,149,13.8,NA,0,0,0,0
22,135.2,151.1,15.9,NA,0,0,0,0
23,135.5,150.4,14.9,NA,0,0,0,0
24,135.6,149.4,13.8,NA,0,0,0,0
25,136.1,150,13.9,NA,0,0,0,0
26,136.2,151,14.8,NA,0,0,0,0
27,136.3,150,13.7,NA,0,0,0,0
28,136.4,150.7,14.3,NA,0,0,0,0
29,136.7,147.6,10.9,NA,0,0,0,0
30,136.8,151.9,15.1,NA,0,0,0,0
31,136.9,151.5,14.6,NA,0,0,0,0
32,137.3,151.1,13.8,NA,0,0,0,0
33,137.4,151,13.6,NA,0,0,0,0
34,137.6,151.8,14.2,NA,0,0,0,0
35,137.6,150.9,13.3,NA,0,0,0,0
36,137.6,150,12.4,NA,0,0,0,0
37,138,154,16,NA,0,0,0,0
38,138.2,152.6,14.4,NA,0,0,0,0
39,138.3,152.6,14.3,NA,0,0,0,0
40,138.3,152.6,14.3,NA,0,0,0,0
41,138.3,151.1,12.8,NA,0,0,0,0
42,138.5,151.4,12.9,NA,0,0,0,0
43,138.9,155,16.1,NA,0,0,0,0
44,139.2,151.8,12.6,NA,0,0,0,0
45,139.5,154.2,14.7,NA,0,0,0,0
46,139.5,154,14.5,NA,0,0,0,0
47,140,151.9,11.9,NA,0,0,0,0
48,140.1,155.5,15.4,NA,0,0,0,0
49,140.2,155.9,15.7,NA,0,0,0,0
50,140.3,153.1,12.8,NA,0,0,0,0
51,140.3,155.4,15.1,NA,0,0,0,0
52,140.6,154.2,13.6,NA,0,0,0,0
53,140.7,153,12.3,NA,0,0,0,0
54,141,151.7,10.7,NA,0,0,0,0
55,141.3,153.4,12.1,NA,0,0,0,0
56,141.3,154,12.7,NA,0,0,0,0
57,141.3,155.6,14.3,NA,0,0,0,0
58,141.3,156.2,14.9,NA,0,0,0,0
59,141.5,155.6,14.1,NA,0,0,0,0
60,142,154.3,12.3,NA,0,0,0,0
61,142,158.2,16.2,NA,0,0,0,0
62,142.3,155.6,13.3,NA,0,0,0,0
63,142.3,156.5,14.2,NA,0,0,0,0
64,142.4,157.3,14.9,NA,0,0,0,0
65,142.7,155.8,13.1,NA,0,0,0,0
66,142.9,156.6,13.7,NA,0,0,0,0
67,143,155.9,12.9,NA,0,0,0,0
68,143.1,156.6,13.5,NA,0,0,0,0
69,143.5,155,11.5,NA,0,0,0,0
70,143.6,158.2,14.6,NA,0,0,0,0
71,143.7,158.7,15,NA,0,0,0,0
72,143.7,155.9,12.2,NA,0,0,0,0
73,143.7,159.1,15.4,NA,0,0,0,0
74,143.9,155.6,11.7,NA,0,0,0,0
75,144,158.6,14.6,NA,0,0,0,0
76,144.5,154.3,9.8,NA,0,0,0,0
77,144.6,161.6,17,NA,0,0,0,0
78,144.6,157,12.4,NA,0,0,0,0
79,144.7,154.6,9.9,NA,0,0,0,0
80,145,157.9,12.9,NA,0,0,0,0
81,145.2,160,14.8,NA,0,0,0,0
82,145.4,159.9,14.5,NA,0,0,0,0
83,145.4,157.1,11.7,NA,0,0,0,0
84,145.7,159.9,14.2,NA,0,0,0,0
85,145.7,157,11.3,NA,0,0,0,0
86,145.7,159.6,13.9,NA,0,0,0,0
87,145.9,160.6,14.7,NA,0,0,0,0
88,146,155.6,9.6,NA,0,0,0,0
89,147.2,159.6,12.4,NA,0,0,0,0
90,147.4,162.7,15.3,NA,0,0,0,0
91,147.6,158.3,10.7,NA,0,0,0,0
92,148,160.1,12.1,NA,0,0,0,0
93,148.1,163.7,15.6,NA,0,0,0,0
94,148.1,163.2,15.1,NA,0,0,0,0
95,151,164.7,13.7,NA,0,0,0,0
96,151.2,163.5,12.3,NA,0,0,0,0
97,153.9,166.5,12.6,NA,0,0,0,0
98,115.6,130.8,15.2,NA,0,0,0,0
99,123,141.6,18.6,NA,0,0,0,0
100,124.4,142.5,18.1,NA,0,0,0,0
101,136.1,147.5,11.4,NA,0,0,0,0
102,136.9,151.4,14.5,NA,0,0,0,0
103,138.6,154.2,15.6,NA,0,0,0,0
104,139.7,152.3,12.6,NA,0,0,0,0
106,141.3,156.6,15.3,NA,0,0,0,0
107,143.7,154.6,10.9,NA,0,0,0,0
108,144.2,157.8,13.6,NA,0,0,0,0
109,146.4,161.7,15.3,NA,0,0,0,0
110,147.8,160.6,12.8,NA,0,0,0,0
111,147.9,156,8.1,NA,0,0,0,0
112,142.3,154.8,12.5,81,1,0,0,1
113,125.1,142.5,17.4,81,1,0,0,1
114,140.8,154.9,14.1,81,1,0,0,1
115,122.4,136.5,14.1,81,1,0,0,1
116,133.2,146.6,13.4,81,1,0,0,1
117,138.9,151.5,12.6,81,1,0,0,1
118,143.1,154.4,11.3,81,1,0,0,1
119,139.7,152.2,12.5,81,1,0,0,1
120,140.4,155.3,14.9,81,1,0,0,1
121,116.6,133.3,16.7,81,1,0,0,1
