Kilometres,Zone,Bonus,Make,Insured,Claims,Payment,Claimfreq,km1,km2,km3,km4,z1,z2,z3,z4,z5,z6,m1,m2,m3,m4,m5,m6,m7,m8
1,1,1,1,455.13,108,392491,0.237294839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,2,69.17,19,46221,0.274685557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,3,72.88,13,15694,0.178375412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,4,1292.39,124,422201,0.09594627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,5,191.01,40,119373,0.20941312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,6,477.66,57,170913,0.119331742,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,7,105.58,23,56940,0.217844289,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,1,8,32.55,14,77487,0.430107527,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,9,9998.46,1704,6805992,0.170426246,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,2,1,314.58,45,214011,0.143047873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,2,61.82,10,65303,0.161759948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,2,3,47.06,5,20871,0.106247344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,2,4,782.58,48,242894,0.061335582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,2,5,115.43,11,23545,0.09529585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,2,6,338.06,23,39598,0.06803526,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,2,7,70.44,7,48767,0.099375355,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,2,8,15.25,2,6560,0.131147541,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,2,9,6416.19,638,2873487,0.099435958,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,3,1,309.98,24,134931,0.07742435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,2,49.18,6,50908,0.122000813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,3,3,32.02,3,4399,0.093691443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,3,4,497.2,23,112992,0.046259051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,3,5,73.48,6,14788,0.081654872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,3,6,278.01,9,48713,0.032372936,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,3,7,66.36,9,52076,0.13562387,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,3,8,17.86,3,13161,0.167973124,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,3,9,5063.15,408,1707680,0.080582246,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,4,1,318.48,29,103866,0.091057523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,2,57.21,7,77588,0.122356231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,4,3,35.33,4,11839,0.113218228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,4,4,374.28,20,98140,0.05343593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,4,5,85.18,7,27919,0.082178915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,4,6,199.7,7,103910,0.035052579,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,4,7,60.46,4,38065,0.066159444,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,4,8,12.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,4,9,4263.09,300,1267678,0.070371491,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,5,1,444.37,25,69203,0.056259423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,5,2,86.65,6,14620,0.069244085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,5,3,53.81,5,40258,0.092919532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,5,4,361.62,22,161455,0.060837343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,5,5,117.91,3,20011,0.025443135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,5,6,232.55,11,57214,0.047301656,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,5,7,81.27,3,4496,0.03691399,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,5,8,18.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,5,9,4761.37,301,1116208,0.063217099,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,6,1,1016.67,61,217617,0.059999803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,2,150.56,12,58099,0.079702444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,6,3,126.69,4,12268,0.031573131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,6,4,517.31,16,59634,0.03092923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,6,5,246.62,13,84966,0.052712675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,6,6,482.96,19,137005,0.039340732,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,6,7,203.6,12,33767,0.058939096,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,6,8,25.88,3,6279,0.115919629,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,6,9,9197.99,522,1939894,0.056751529,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,7,1,5430.48,214,1048698,0.039407198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,7,2,659.54,24,143915,0.036388998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,7,3,657.34,22,153830,0.03346822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,7,4,2795.72,60,202413,0.021461377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,7,5,1119.12,41,180345,0.036635928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,7,6,2861.69,92,484604,0.032148835,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,7,7,1111,37,152801,0.03330333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,7,8,166.61,6,14084,0.036012244,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,7,9,48264.64,1875,8977527,0.038848316,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,1,1,458.89,98,532092,0.213558805,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,1,2,72.78,5,9006,0.068700192,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,2,1,3,33.23,7,45498,0.210653024,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,2,1,4,1544.55,101,337480,0.065391214,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,2,1,5,200.9,43,191982,0.214036834,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,2,1,6,663.98,65,300632,0.097894515,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,2,1,7,124.73,10,23349,0.080173174,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,2,1,8,29.24,4,13581,0.136798906,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,2,1,9,11381,1326,6173598,0.116509973,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,2,2,1,364.78,40,211494,0.109655135,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,2,2,51.89,5,10811,0.09635768,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,2,2,3,29.39,4,36204,0.136100715,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,2,2,4,1053.01,33,135007,0.031338734,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,2,2,5,110.1,16,49061,0.145322434,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,2,2,6,470.62,30,64287,0.063745697,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,2,2,7,93.29,8,51080,0.0857541,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,2,2,8,17.88,1,600,0.055928412,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,2,2,9,7607.66,591,2510207,0.07768486,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,2,3,1,315.14,17,106975,0.053944279,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,3,2,64.53,4,16922,0.061986673,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,2,3,3,27.24,2,8255,0.073421439,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,2,3,4,726.13,29,93656,0.039937752,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,2,3,5,96.49,4,44966,0.041455073,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,2,3,6,365.81,16,43426,0.043738553,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,2,3,7,80.8,5,48691,0.061881188,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,2,3,8,13.3,1,1325,0.07518797,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,2,3,9,5898.98,320,1392652,0.054246666,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,2,4,1,320.47,16,136143,0.04992667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,4,2,69.55,4,34137,0.057512581,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,2,4,3,33.37,1,2702,0.029967036,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,2,4,4,507.57,9,22292,0.017731544,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,2,4,5,72.4,7,20295,0.096685083,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,2,4,6,316.14,9,57404,0.0284684,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,2,4,7,72.05,3,8538,0.041637752,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,2,4,8,18.35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,2,4,9,4957.56,269,1375988,0.054260564,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,2,5,1,473.63,27,136376,0.057006524,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,5,2,88.09,8,19038,0.090816211,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,2,5,3,46.27,2,3604,0.043224552,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,2,5,4,467.96,9,10597,0.019232413,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,2,5,5,126.88,10,26433,0.078814628,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,2,5,6,316.15,11,52950,0.034793611,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,2,5,7,101.11,7,21620,0.06923153,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,2,5,8,23.37,1,2680,0.042789902,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,2,5,9,5481.31,282,1079230,0.051447555,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,2,6,1,996.27,61,236220,0.061228382,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,6,2,175.14,10,25036,0.057097179,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,2,6,3,111.97,5,22261,0.044654818,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,2,6,4,601.61,16,88961,0.026595303,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,2,6,5,260.69,14,64368,0.053703633,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,2,6,6,593.18,17,65578,0.028659092,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,2,6,7,229.72,7,46244,0.030471879,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,2,6,8,46.66,7,14385,0.150021432,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,2,6,9,9830.72,413,1840742,0.042011165,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,2,7,1,6021.43,233,1086534,0.038695127,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,7,2,852.8,33,165960,0.03869606,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,2,7,3,751.59,24,100564,0.031932304,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,2,7,4,3293.99,60,201401,0.018214992,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,2,7,5,1289.09,53,272610,0.041114274,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,2,7,6,3665.27,97,524316,0.026464626,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,2,7,7,1369.91,35,159658,0.025549124,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,2,7,8,183.98,5,18603,0.027176867,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
