COUNTRY,QUES,INF   ,LEGAL ,DEV,resd
GERMANY,10,3,6.9,1,10.323
COSTA RICA,8.1,23,4.7,0,-0.5916
FINLAND,7.8,7,2.8,1,3.6442
AUSTRALIA,7.6,8,3.6,1,3.6734
ITALY,7.3,11,2.5,1,5.2172
DENMARK,7.3,7,5,1,1.2172
BAHAMAS,7.1,6,4.1,0,-22.4456
LUXEMBERG,6.6,5,3.3,1,-4.1806
FRANCE,6.5,7,2.4,1,-2.666
U. KINGDOM,6.4,7,2.7,1,-3.1514
S. AFRICA,6.4,14,2.5,1,3.8486
ZAIRE,6.1,45,4.3,0,11.7004
IRELAND,5.7,9,4.4,1,-4.5492
BARBADOS,5.4,7,3.8,0,-29.6974
UGANDA,5.3,72,3.8,0,34.8172
URUGUAY,4.9,45,2.4,0,5.8756
BELGIUM,4.7,5,1.7,1,-13.4032
TURKEY,4.4,41,4.6,0,-0.5514
TANZANIA,3.8,27,4.4,0,-17.4638
YUGOSLAVIA,1.7,73,1.7,0,18.3428
