Age,MSmoke,MNon,FSmoke,FNon,,Age,Rate,sex,Smoke
33,130,100,110,95,,33,130,1,1
34,135,105,110,95,,34,135,1,1
35,140,105,115,100,,35,140,1,1
36,145,110,120,100,,36,145,1,1
37,155,110,125,105,,37,155,1,1
38,160,115,130,105,,38,160,1,1
39,170,120,140,110,,39,170,1,1
40,180,125,145,115,,40,180,1,1
41,195,130,155,120,,41,195,1,1
42,210,140,165,130,,42,210,1,1
43,230,145,175,135,,43,230,1,1
44,250,155,190,145,,44,250,1,1
45,270,170,205,155,,45,270,1,1
46,295,180,225,165,,46,295,1,1
47,325,200,245,180,,47,325,1,1
48,360,215,265,195,,48,360,1,1
49,395,235,290,210,,49,395,1,1
50,435,260,320,230,,50,435,1,1
51,485,285,350,250,,51,485,1,1
52,535,315,380,275,,52,535,1,1
53,590,350,420,305,,53,590,1,1
54,650,390,460,335,,54,650,1,1
55,715,435,505,370,,55,715,1,1
,,,,,,33,100,1,0
,,,,,,34,105,1,0
,,,,,,35,105,1,0
,,,,,,36,110,1,0
,,,,,,37,110,1,0
,,,,,,38,115,1,0
,,,,,,39,120,1,0
,,,,,,40,125,1,0
,,,,,,41,130,1,0
,,,,,,42,140,1,0
,,,,,,43,145,1,0
,,,,,,44,155,1,0
,,,,,,45,170,1,0
,,,,,,46,180,1,0
,,,,,,47,200,1,0
,,,,,,48,215,1,0
,,,,,,49,235,1,0
,,,,,,50,260,1,0
,,,,,,51,285,1,0
,,,,,,52,315,1,0
,,,,,,53,350,1,0
,,,,,,54,390,1,0
,,,,,,55,435,1,0
,,,,,,33,110,0,1
,,,,,,34,110,0,1
,,,,,,35,115,0,1
,,,,,,36,120,0,1
,,,,,,37,125,0,1
,,,,,,38,130,0,1
,,,,,,39,140,0,1
,,,,,,40,145,0,1
,,,,,,41,155,0,1
,,,,,,42,165,0,1
,,,,,,43,175,0,1
,,,,,,44,190,0,1
,,,,,,45,205,0,1
,,,,,,46,225,0,1
,,,,,,47,245,0,1
,,,,,,48,265,0,1
,,,,,,49,290,0,1
,,,,,,50,320,0,1
,,,,,,51,350,0,1
,,,,,,52,380,0,1
,,,,,,53,420,0,1
,,,,,,54,460,0,1
,,,,,,55,505,0,1
,,,,,,33,95,0,0
,,,,,,34,95,0,0
,,,,,,35,100,0,0
,,,,,,36,100,0,0
,,,,,,37,105,0,0
,,,,,,38,105,0,0
,,,,,,39,110,0,0
,,,,,,40,115,0,0
,,,,,,41,120,0,0
,,,,,,42,130,0,0
,,,,,,43,135,0,0
,,,,,,44,145,0,0
,,,,,,45,155,0,0
,,,,,,46,165,0,0
,,,,,,47,180,0,0
,,,,,,48,195,0,0
,,,,,,49,210,0,0
,,,,,,50,230,0,0
,,,,,,51,250,0,0
,,,,,,52,275,0,0
,,,,,,53,305,0,0
,,,,,,54,335,0,0
,,,,,,55,370,0,0
