Date,Open,High,Low,Close,Volume,Adj Close
2008-08-13,2329.80,2376.00,2307.35,2338.75,3252500,2338.75
2008-08-12,2340.00,2374.50,2315.10,2353.30,3758100,2353.30
2008-08-11,2251.15,2336.00,2251.15,2331.30,2927000,2331.30
2008-08-08,2249.70,2284.00,2231.05,2245.80,3303300,2245.80
2008-08-07,2298.00,2316.90,2260.25,2270.00,2806500,2270.00
2008-08-06,2290.00,2349.00,2286.10,2297.50,4163900,2297.50
2008-08-05,2256.65,2286.00,2205.00,2281.00,4797500,2281.00
2008-08-04,2349.80,2349.80,2232.60,2242.00,4096100,2242.00
2008-08-01,2170.05,2313.00,2153.00,2308.65,3774500,2308.65
2008-07-31,2214.80,2220.00,2155.25,2214.00,3253100,2214.00
2008-07-30,2138.00,2174.00,2100.05,2172.50,2096300,2172.50
2008-07-29,2139.80,2158.95,2075.00,2079.45,3553500,2079.45
2008-07-28,2150.05,2189.00,2106.00,2177.25,3383400,2177.25
2008-07-25,2338.45,2338.45,2135.00,2142.10,7129200,2142.10
2008-07-24,2259.90,2330.00,2259.90,2310.05,3331300,2310.05
2008-07-23,2170.00,2279.00,2170.00,2278.90,5049800,2278.90
2008-07-22,2125.00,2199.00,2125.00,2147.25,2853200,2147.25
2008-07-21,2149.00,2164.25,2093.05,2157.40,2975900,2157.40
2008-07-18,1990.00,2127.00,1990.00,2110.55,3849600,2110.55
2008-07-17,2038.00,2044.70,1965.10,2028.70,3088000,2028.70
2008-07-16,1990.15,2025.00,1920.00,1957.25,3876600,1957.25
2008-07-15,2005.00,2046.80,1968.00,1970.00,4765300,1970.00
2008-07-14,2000.00,2075.00,1990.00,2061.00,3713300,2061.00
2008-07-11,2054.00,2068.90,1992.00,2025.60,3350300,2025.60
2008-07-10,2076.90,2084.75,2031.60,2040.00,2878900,2040.00
2008-07-09,2000.00,2094.95,2000.00,2090.60,3520200,2090.60
2008-07-08,1998.00,2016.95,1930.30,1982.00,4810500,1982.00
2008-07-07,2090.05,2120.00,1997.00,2018.80,3720900,2018.80
2008-07-04,2070.05,2131.20,2050.05,2079.75,4070300,2079.75
2008-07-03,2130.00,2130.00,2025.60,2074.00,4915900,2074.00
2008-07-02,2039.70,2183.00,1990.00,2145.00,6945400,2145.00
2008-07-01,2110.00,2149.00,2026.35,2026.35,5926300,2026.35
2008-06-30,2180.00,2216.90,2078.00,2083.00,6026600,2083.00
2008-06-27,2176.00,2248.00,2135.25,2169.00,6517400,2169.00
2008-06-26,2145.00,2259.90,2136.00,2230.00,9536600,2230.00
2008-06-25,1956.25,2148.00,1956.25,2145.00,4179500,2145.00
2008-06-24,2045.00,2133.00,2015.00,2043.15,5989200,2043.15
2008-06-23,2080.00,2082.90,1982.35,2030.05,5456400,2030.05
2008-06-20,2260.05,2260.05,2075.30,2103.00,5356800,2103.00
2008-06-19,2258.85,2270.05,2230.25,2252.05,2036900,2252.05
2008-06-18,2350.00,2350.00,2280.00,2281.70,2881300,2281.70
2008-06-17,2280.05,2340.00,2260.00,2338.25,2493500,2338.25
2008-06-16,2350.00,2350.00,2262.20,2277.35,3163100,2277.35
2008-06-13,2287.00,2299.90,2235.00,2264.15,3499600,2264.15
2008-06-12,2250.05,2295.00,2156.35,2276.35,5237200,2276.35
2008-06-11,2280.00,2280.00,2210.00,2265.00,4785300,2265.00
2008-06-10,2250.00,2250.00,2145.00,2212.00,4559200,2212.00
2008-06-06,2299.00,2299.00,2212.00,2233.25,4965100,2233.25
2008-06-05,2350.00,2350.00,2175.00,2247.00,7716100,2247.00
2008-06-04,2409.00,2444.00,2285.00,2292.00,3894600,2292.00
