Date,Open,High,Low,Close,Volume,Adj Close
2008-08-14,705.00,709.45,667.20,676.25,7429700,676.25
2008-08-13,716.60,728.40,704.20,712.50,8844100,712.50
2008-08-12,789.00,789.00,728.10,737.55,8540500,737.55
2008-08-11,784.00,784.00,745.00,765.65,10004500,765.65
2008-08-08,693.60,744.50,683.00,731.00,9010200,731.00
2008-08-07,705.00,722.00,693.30,709.15,6848400,709.15
2008-08-06,727.65,747.50,698.60,703.20,12068200,703.20
2008-08-05,643.35,704.70,626.00,692.10,14384300,692.10
2008-08-04,635.00,659.50,630.00,637.05,5357500,637.05
2008-08-01,615.00,650.00,610.00,642.00,6714600,642.00
2008-07-31,638.00,664.10,621.15,633.00,5333000,633.00
2008-07-30,622.00,648.00,617.10,636.10,7036700,636.10
2008-07-29,647.70,647.70,603.25,607.00,11831200,607.00
2008-07-28,636.55,669.00,623.95,662.85,10432800,662.85
2008-07-25,700.00,705.00,648.20,657.00,11796100,657.00
2008-07-24,750.25,764.90,701.00,726.00,10578300,726.00
2008-07-23,700.00,748.00,692.25,741.00,8562000,741.00
2008-07-22,640.90,677.25,630.30,669.30,7732400,669.30
2008-07-21,644.40,650.00,624.15,649.00,7470700,649.00
2008-07-18,568.00,624.00,560.00,618.00,12384000,618.00
2008-07-17,554.85,560.90,535.15,554.30,8938500,554.30
2008-07-16,530.15,542.50,514.00,520.00,6630100,520.00
2008-07-15,569.90,569.90,525.00,526.00,7546300,526.00
2008-07-14,581.00,599.05,573.25,579.10,4002400,579.10
2008-07-11,620.00,622.00,586.10,589.00,5394700,589.00
2008-07-10,600.25,622.75,593.00,613.00,6188800,613.00
2008-07-09,634.40,644.90,610.00,619.25,5877400,619.25
2008-07-08,570.15,604.00,570.15,598.10,4687400,598.10
2008-07-07,645.00,645.00,596.25,597.15,5448300,597.15
2008-07-04,561.85,614.90,560.80,594.80,6520700,594.80
2008-07-03,610.00,615.00,557.50,565.90,8423700,565.90
2008-07-02,589.00,628.80,554.00,624.00,10029500,624.00
2008-07-01,630.00,642.00,580.00,584.85,7424700,584.85
2008-06-30,664.80,664.80,611.35,635.00,6725200,635.00
2008-06-27,684.00,684.00,642.55,648.00,4990600,648.00
