Date,Open,High,Low,Close,Volume,Adj Close
2008-08-14,130.95,144.60,127.70,139.30,1864800,139.30
2008-08-13,132.05,140.75,130.00,131.00,1519600,131.00
2008-08-12,132.20,132.40,126.50,128.10,117500,128.10
2008-08-11,127.50,135.00,126.70,131.00,440200,131.00
2008-08-08,137.00,137.25,123.60,125.60,789300,125.60
2008-08-07,115.00,137.45,112.40,136.10,1827700,136.10
2008-08-06,112.00,119.00,111.00,115.05,269000,115.05
2008-08-05,110.50,113.50,110.00,111.00,153400,111.00
2008-08-04,109.10,113.95,109.00,110.30,81300,110.30
2008-08-01,110.30,112.85,108.50,110.00,109200,110.00
2008-07-31,112.00,113.30,108.00,110.00,64500,110.00
2008-07-30,112.00,114.00,106.50,110.95,289000,110.95
2008-07-29,105.10,114.70,103.25,110.05,235900,110.05
2008-07-28,102.00,110.00,99.00,106.75,225900,106.75
2008-07-25,103.40,103.40,99.20,102.45,69700,102.45
2008-07-24,101.50,106.95,101.50,104.00,85700,104.00
2008-07-23,93.50,104.00,91.00,100.70,180900,100.70
2008-07-22,90.40,93.85,86.00,90.10,71000,90.10
2008-07-21,93.85,94.00,85.55,87.50,113800,87.50
2008-07-18,97.30,97.30,93.25,93.85,73600,93.85
2008-07-17,105.00,105.00,93.60,94.00,252200,94.00
2008-07-16,95.00,107.70,95.00,100.00,193500,100.00
2008-07-15,103.50,107.80,97.55,106.00,301700,106.00
2008-07-14,104.10,109.00,102.95,107.50,52700,107.50
2008-07-11,115.00,115.00,107.50,109.80,42900,109.80
2008-07-10,115.70,117.70,109.70,110.70,87100,110.70
2008-07-09,106.25,116.00,106.00,116.00,114900,116.00
2008-07-08,105.15,109.80,105.15,107.55,29700,107.55
2008-07-07,109.45,112.50,106.00,108.05,82500,108.05
2008-07-04,107.00,108.00,105.15,106.25,41100,106.25
2008-07-03,108.10,108.10,105.10,105.85,22300,105.85
2008-07-02,106.90,111.95,104.25,108.95,100400,108.95
2008-07-01,106.50,112.50,105.05,106.75,174200,106.75
2008-06-30,103.50,109.00,103.50,106.00,182100,106.00
2008-06-27,107.40,109.90,98.50,104.10,178700,104.10
2008-06-26,585.70,607.00,545.10,549.95,292800,109.99
2008-06-25,565.00,610.00,516.15,579.90,144200,115.98
2008-06-24,617.00,627.85,563.35,575.00,173500,115.00
2008-06-23,652.00,658.40,609.00,612.10,111400,122.42
2008-06-20,689.00,697.00,648.00,667.90,77600,133.58
2008-06-19,685.00,704.00,677.00,684.70,102500,136.94
2008-06-18,689.80,708.00,678.00,695.90,277800,139.18
2008-06-17,677.00,694.80,662.00,677.90,254100,135.58
2008-06-16,659.00,731.90,650.50,660.00,728000,132.00
2008-06-13,639.80,654.00,639.80,649.95,12000,129.99
2008-06-12,634.60,659.95,626.00,643.00,44400,128.60
2008-06-11,641.00,659.50,641.00,641.30,35700,128.26
2008-06-10,629.00,660.00,625.00,637.00,52400,127.40
2008-06-09,666.60,666.90,630.00,642.30,46700,128.46
2008-06-06,719.00,728.70,650.00,680.00,68600,136.00
2008-06-05,701.00,720.00,700.00,702.05,71300,140.41
2008-06-04,722.05,734.80,702.00,711.00,120400,142.20
2008-06-03,702.25,732.00,702.25,724.00,90100,144.80
2008-06-02,749.00,758.00,713.10,713.25,122700,142.65
2008-05-30,748.00,774.00,738.00,744.00,433200,148.80
2008-05-29,758.00,760.00,725.00,743.00,97900,148.60
2008-05-28,747.00,751.00,731.00,744.90,196500,148.98
2008-05-27,776.95,778.00,735.00,742.75,279300,148.55
2008-05-26,812.20,812.20,752.05,757.50,262400,151.50
2008-05-23,875.00,888.95,803.10,810.00,465000,162.00
2008-05-22,912.00,912.00,859.00,865.00,457600,173.00
2008-05-21,989.00,994.50,924.00,926.00,396400,185.20
2008-05-20,900.00,1023.00,869.00,995.00,1185900,199.00
2008-05-19,897.10,897.10,897.10,897.10,000,179.42
2008-05-16,914.00,917.00,891.55,897.10,49200,179.42
2008-05-15,897.00,929.00,885.25,899.00,89800,179.80
2008-05-14,862.00,891.00,859.80,874.00,33500,174.80
2008-05-13,904.90,908.85,881.20,885.00,34100,177.00
2008-05-12,914.00,925.00,875.50,881.20,84700,176.24
2008-05-09,899.00,965.00,887.00,898.00,450500,179.60
2008-05-08,820.00,930.00,802.90,914.85,131200,182.97
2008-05-07,880.00,899.00,868.00,880.00,20000,176.00
2008-05-06,905.00,905.00,875.25,877.00,50900,175.40
2008-05-05,910.00,949.00,885.00,888.25,118700,177.65
2008-05-02,939.30,1000.00,856.55,902.25,234800,180.45
2008-05-01,902.00,902.00,902.00,902.00,000,180.40
2008-04-30,935.00,940.00,888.00,902.00,135200,180.40
2008-04-29,896.00,968.00,896.00,932.25,743500,186.45
2008-04-28,799.00,919.00,799.00,900.10,538800,180.02
2008-04-25,773.00,784.40,760.00,780.00,127700,156.00
2008-04-24,738.00,768.00,732.50,762.00,63800,152.40
2008-04-23,714.80,742.00,706.05,720.00,45300,144.00
2008-04-22,702.05,720.00,692.00,701.00,22300,140.20
2008-04-21,700.00,732.00,700.00,702.00,33000,140.40
2008-04-18,683.00,683.00,683.00,683.00,000,136.60
2008-04-17,670.00,711.00,652.00,683.00,457700,136.60
2008-04-16,633.05,665.00,633.05,651.00,17500,130.20
2008-04-15,635.00,659.90,633.05,649.00,32400,129.80
2008-04-14,638.90,638.90,638.90,638.90,000,127.78
2008-04-11,661.65,675.00,633.00,638.90,33000,127.78
2008-04-10,690.00,700.00,652.15,652.55,20300,130.51
2008-04-09,643.75,730.00,621.00,680.00,70900,136.00
2008-04-08,645.00,660.00,641.00,650.00,74300,130.00
2008-04-07,652.00,658.90,643.00,645.00,24100,129.00
2008-04-04,695.00,696.90,630.20,640.00,88600,128.00
2008-04-03,665.00,700.00,665.00,678.10,7100,135.62
2008-04-02,718.80,728.00,685.00,685.00,6800,137.00
2008-04-01,715.00,719.00,695.00,696.00,5100,139.20
2008-03-31,680.00,739.95,653.00,720.00,67900,144.00
2008-03-28,685.00,730.10,680.00,695.00,54100,139.00
2008-03-27,740.00,740.00,670.00,680.00,49200,136.00
2008-03-26,679.00,695.00,665.00,666.55,25200,133.31
2008-03-25,704.00,704.00,645.00,677.00,34900,135.40
2008-03-24,705.00,705.00,620.00,705.00,40100,141.00
2008-03-21,706.00,706.00,706.00,706.00,000,141.20
2008-03-20,706.00,706.00,706.00,706.00,000,141.20
2008-03-19,769.00,770.00,699.00,706.00,13300,141.20
2008-03-18,744.90,748.95,721.65,722.00,292800,144.40
2008-03-17,745.00,745.00,745.00,745.00,000,149.00
2008-03-14,780.00,780.00,731.00,745.00,47700,149.00
2008-03-13,745.00,770.00,730.10,757.50,31100,151.50
2008-03-12,742.00,775.00,729.00,770.00,93600,154.00
2008-03-11,712.00,765.00,705.20,714.95,103700,142.99
2008-03-10,725.00,755.00,691.00,746.50,49500,149.30
2008-03-07,715.05,801.00,707.10,799.00,68800,159.80
2008-03-06,750.10,750.10,750.10,750.10,000,150.02
2008-03-05,720.05,760.00,713.25,750.10,17700,150.02
2008-03-04,750.00,750.00,730.00,745.00,41900,149.00
2008-03-03,746.70,787.00,743.00,749.50,15100,149.90
2008-02-29,777.25,792.05,773.10,780.30,29300,156.06
2008-02-28,787.00,809.80,765.05,775.10,37300,155.02
2008-02-27,785.00,860.00,751.00,791.00,135500,158.20
2008-02-26,735.00,799.00,731.00,780.00,147400,156.00
2008-02-25,733.00,754.00,728.95,731.00,5800,146.20
2008-02-22,750.70,760.00,725.00,745.50,3700,149.10
2008-02-21,770.00,793.00,760.00,762.50,8900,152.50
2008-02-20,775.00,795.90,753.00,775.00,16300,155.00
2008-02-19,792.00,854.90,780.05,780.05,46900,156.01
2008-02-18,770.00,804.90,738.25,804.90,11100,160.98
2008-02-15,753.00,775.00,750.00,750.00,9900,150.00
2008-02-14,753.00,765.00,741.00,760.00,9900,152.00
2008-02-13,738.00,760.00,705.05,730.00,91200,146.00
2008-02-12,725.00,754.85,700.00,729.00,57100,145.80
2008-02-11,740.10,755.00,722.00,740.00,34100,148.00
2008-02-08,720.00,769.95,715.00,751.00,188500,150.20
2008-02-07,759.00,789.95,702.00,705.00,20900,141.00
2008-02-06,758.25,770.00,730.00,759.00,18600,151.80
2008-02-05,751.25,780.00,745.00,750.05,17200,150.01
2008-02-04,760.00,784.00,760.00,770.00,18700,154.00
2008-02-01,776.00,800.00,712.25,750.00,188000,150.00
2008-01-31,798.00,800.00,751.10,790.30,28800,158.06
2008-01-30,796.00,800.00,782.25,790.15,33200,158.03
2008-01-29,791.00,800.00,756.00,790.00,73900,158.00
2008-01-28,765.30,800.00,765.30,790.00,17800,158.00
2008-01-25,781.00,830.00,781.00,809.00,73000,161.80
