Date,Open,High,Low,Close,Volume,Adj Close
2008-08-19,211.80,220.30,211.80,218.00,89300,218.00
2008-08-18,220.00,220.00,210.00,216.20,26800,216.20
2008-08-14,205.25,224.95,205.25,219.95,48900,219.95
2008-08-13,220.40,224.90,215.00,220.40,72400,220.40
2008-08-12,222.10,227.70,215.10,217.80,75800,217.80
2008-08-11,219.00,227.85,219.00,225.50,67700,225.50
2008-08-08,211.80,225.90,211.80,217.90,85400,217.90
2008-08-07,214.90,219.60,207.10,215.05,100200,215.05
2008-08-06,201.00,228.40,201.00,215.00,195300,215.00
2008-08-05,207.10,220.00,207.10,215.50,86800,215.50
2008-08-04,205.50,219.90,205.50,216.00,145200,216.00
2008-08-01,209.00,216.95,209.00,215.00,66400,215.00
2008-07-31,205.20,218.90,205.20,217.00,150400,217.00
2008-07-30,202.00,219.50,202.00,213.90,63900,213.90
2008-07-29,210.00,218.30,210.00,213.15,11900,213.15
2008-07-28,203.50,223.00,203.50,218.95,48400,218.95
2008-07-25,211.10,217.70,211.00,216.00,36400,216.00
2008-07-24,221.00,224.00,210.00,221.00,186900,221.00
2008-07-23,195.00,228.80,195.00,215.30,101700,215.30
2008-07-22,190.05,217.90,190.05,211.55,70800,211.55
2008-07-21,217.00,217.95,207.00,207.50,51800,207.50
2008-07-18,193.00,218.40,193.00,218.00,67400,218.00
2008-07-17,200.00,217.00,200.00,205.75,65200,205.75
2008-07-16,192.00,218.85,192.00,204.80,36100,204.80
2008-07-15,216.00,221.00,195.15,207.25,52700,207.25
2008-07-14,217.50,228.00,215.00,216.00,70600,216.00
2008-07-11,225.00,229.00,216.00,228.00,76700,228.00
2008-07-10,210.00,224.90,210.00,220.05,50000,220.05
2008-07-09,210.00,214.65,208.00,210.95,66800,210.95
2008-07-08,193.30,207.40,191.10,205.00,48600,205.00
2008-07-07,194.65,209.00,191.25,203.05,88500,203.05
2008-07-04,187.00,210.00,186.00,189.95,92000,189.95
2008-07-03,210.00,210.00,181.55,183.00,92000,183.00
2008-07-02,221.00,223.00,196.95,215.00,145000,215.00
2008-07-01,225.00,230.00,215.00,217.40,34100,217.40
2008-06-30,230.00,239.00,212.50,230.00,111700,230.00
2008-06-27,237.00,237.00,218.20,234.00,62300,234.00
2008-06-26,245.00,248.00,229.00,235.00,101100,235.00
2008-06-25,221.95,251.00,215.00,228.10,120000,228.10
2008-06-24,229.15,236.90,219.00,219.00,26200,219.00
2008-06-23,234.00,237.95,221.00,235.00,84200,235.00
2008-06-20,256.85,256.90,233.00,236.00,79300,236.00
2008-06-19,252.90,259.95,245.00,248.85,97200,248.85
2008-06-18,269.70,271.30,246.30,249.95,60200,249.95
2008-06-17,275.00,275.00,262.15,262.15,29600,262.15
2008-06-16,269.95,277.00,261.10,272.00,89100,272.00
2008-06-13,262.35,267.00,258.05,265.80,23700,265.80
2008-06-12,245.20,266.80,245.20,265.00,31100,265.00
2008-06-11,268.00,270.00,256.10,269.95,39200,269.95
2008-06-10,267.00,277.00,246.15,257.00,121600,257.00
2008-06-06,270.00,279.75,260.10,264.00,112100,264.00
2008-06-05,263.00,270.00,260.00,262.00,58600,262.00
2008-06-04,264.95,265.00,253.10,261.00,35700,261.00
2008-06-03,267.50,268.00,258.00,263.70,30900,263.70
2008-06-02,288.00,288.00,267.15,267.50,69100,267.50
2008-05-30,279.00,280.70,273.00,278.00,94400,278.00
2008-05-29,267.10,279.00,266.25,278.95,44400,278.95
2008-05-28,268.00,271.00,263.20,267.50,48300,267.50
2008-05-27,267.55,277.90,265.00,270.00,22300,270.00
2008-05-26,267.50,274.00,260.55,271.45,46600,271.45
2008-05-23,279.00,287.00,267.00,269.00,44600,269.00
2008-05-22,282.80,282.80,273.25,277.00,19000,277.00
2008-05-21,284.00,290.00,278.60,281.10,27300,281.10
2008-05-20,283.00,290.00,282.95,286.00,45000,286.00
2008-05-16,285.00,291.45,276.50,286.50,116100,286.50
2008-05-15,272.50,308.40,272.50,288.00,385500,288.00
2008-05-14,267.50,270.20,267.00,267.50,52300,267.50
2008-05-13,278.00,278.00,267.00,267.50,64000,267.50
2008-05-12,267.50,272.85,253.00,269.00,63100,269.00
2008-05-09,280.00,280.00,267.50,271.00,75400,271.00
2008-05-08,283.00,283.00,275.00,277.00,53100,277.00
2008-05-07,282.00,285.00,280.00,282.90,73500,282.90
2008-05-06,289.50,290.95,275.00,280.00,70200,280.00
2008-05-05,299.00,299.00,285.55,288.90,84700,288.90
2008-05-02,290.00,324.40,284.95,297.60,446300,297.60
2008-05-01,564.00,564.00,564.00,564.00,000,282.00
2008-04-30,570.00,579.80,536.20,564.00,522700,282.00
2008-04-29,529.00,564.95,524.00,542.00,241400,271.00
2008-04-28,529.00,531.95,517.00,520.00,52700,260.00
2008-04-25,540.00,540.00,516.15,517.00,30600,258.50
2008-04-24,533.00,537.00,516.10,520.00,226200,260.00
2008-04-23,545.00,547.00,525.00,529.00,482200,264.50
2008-04-22,525.00,570.00,512.00,527.00,54900,263.50
2008-04-21,549.95,580.00,548.05,548.05,179300,274.02
2008-04-18,540.00,540.00,540.00,540.00,000,270.00
2008-04-17,510.00,540.00,492.50,540.00,505400,270.00
2008-04-16,480.00,508.00,480.00,499.00,128500,249.50
2008-04-15,469.95,477.00,452.00,475.00,40800,237.50
2008-04-14,458.00,458.00,458.00,458.00,000,229.00
2008-04-11,480.00,480.00,452.00,458.00,42200,229.00
2008-04-10,465.00,475.60,450.05,470.85,90300,235.43
2008-04-09,449.00,496.50,447.50,450.00,39600,225.00
