Date,Open,High,Low,Close,Volume,Adj Close
2008-08-14,550.00,550.00,498.00,499.00,5892400,499.00
2008-08-13,558.00,563.90,545.30,549.00,3548700,549.00
2008-08-12,571.50,576.00,556.25,568.90,3613400,568.90
2008-08-11,579.90,579.90,556.00,570.20,3224200,570.20
2008-08-08,520.00,559.00,520.00,550.30,4061700,550.30
2008-08-07,540.00,563.00,535.00,559.00,5388300,559.00
2008-08-06,560.00,573.00,541.10,546.00,6222500,546.00
2008-08-05,510.00,564.70,502.00,552.05,7985400,552.05
2008-08-04,505.00,524.00,501.00,513.50,4886500,513.50
2008-08-01,494.00,525.00,450.60,518.00,6878800,518.00
2008-07-31,490.05,519.50,490.05,514.00,6351500,514.00
2008-07-30,480.05,497.45,476.00,490.50,4384200,490.50
2008-07-29,495.00,495.00,465.00,470.50,5144700,470.50
2008-07-28,485.00,508.90,484.00,498.50,3733900,498.50
2008-07-25,490.00,506.85,485.00,492.40,4675600,492.40
2008-07-24,504.70,518.90,492.80,507.25,5782800,507.25
2008-07-23,462.55,502.00,462.55,497.30,5319700,497.30
2008-07-22,454.95,470.00,447.80,453.85,4637700,453.85
2008-07-21,461.15,467.00,442.10,465.10,3315100,465.10
2008-07-18,448.00,469.90,416.65,457.75,6498800,457.75
2008-07-17,401.00,444.00,401.00,440.05,5798400,440.05
2008-07-16,430.00,439.00,385.35,394.30,5496800,394.30
2008-07-15,445.00,449.40,424.25,432.00,2844800,432.00
2008-07-14,450.00,464.80,438.50,461.00,3690300,461.00
2008-07-11,474.80,474.80,447.50,453.70,5374800,453.70
2008-07-10,449.00,474.70,440.00,457.15,10008100,457.15
2008-07-09,439.00,457.70,437.00,448.95,5923600,448.95
2008-07-08,415.00,434.75,401.00,432.05,6115500,432.05
2008-07-07,428.80,435.00,418.20,430.00,5284000,430.00
2008-07-04,382.00,424.85,377.10,415.50,10383700,415.50
2008-07-03,423.00,429.00,375.00,377.10,8566000,377.10
2008-07-02,365.85,439.00,350.00,424.70,10497200,424.70
2008-07-01,382.55,398.00,362.15,362.15,3586000,362.15
2008-06-30,412.00,427.90,389.00,395.90,3784100,395.90
2008-06-27,434.00,441.00,418.05,421.15,3665800,421.15
2008-06-26,458.70,463.00,441.10,448.00,6312600,448.00
2008-06-25,428.70,468.00,422.40,450.90,5831400,450.90
2008-06-24,441.15,456.80,432.00,432.50,2958800,432.50
2008-06-23,469.40,469.40,440.05,448.15,3373000,448.15
2008-06-20,488.50,488.50,452.50,459.00,3687800,459.00
2008-06-19,483.15,488.00,475.10,476.70,2899700,476.70
2008-06-18,505.00,518.90,490.55,491.05,4014100,491.05
2008-06-17,490.00,509.90,488.10,506.65,4008500,506.65
2008-06-16,500.00,500.00,487.15,491.00,3358000,491.00
2008-06-13,486.00,501.00,478.15,480.05,5271400,480.05
2008-06-12,498.80,503.00,472.30,491.50,10506600,491.50
2008-06-11,475.10,522.30,475.10,515.00,9968900,515.00
2008-06-10,481.00,491.80,470.10,479.90,5365500,479.90
2008-06-06,541.65,547.75,515.25,515.25,4631100,515.25
2008-06-05,570.00,570.00,521.55,538.10,5153200,538.10
2008-06-04,583.90,588.80,550.00,553.50,3277600,553.50
2008-06-03,565.00,587.75,550.50,581.10,4781800,581.10
2008-06-02,593.00,598.00,560.50,562.40,3073700,562.40
2008-05-30,592.25,603.00,583.15,587.40,2828600,587.40
2008-05-29,605.10,609.00,582.25,589.00,3055400,589.00
2008-05-28,605.00,605.00,588.30,603.00,2728900,603.00
2008-05-27,605.20,614.90,590.55,599.00,3487400,599.00
2008-05-26,607.00,609.90,595.15,602.50,3143900,602.50
2008-05-23,612.25,626.80,606.10,609.45,3100000,609.45
2008-05-22,620.00,629.55,608.10,620.10,3379800,620.10
2008-05-21,628.10,644.80,618.50,632.45,6706800,632.45
